sample,value,step,direction,file,Step
Gh_Vst_045TVG-011B_i_62_F1_filt.fastq.gz,140849,Tabled,Both,Both,FUSION
Gh_Vst_045TVG-012B_i_64_F1_filt.fastq.gz,96712,Tabled,Both,Both,FUSION
Gh_Vst_080TVG-009B_s_17_F1_filt.fastq.gz,83456,Tabled,Both,Both,FUSION
Gh_Vst_080TVG-010B_s_18_F1_filt.fastq.gz,182820,Tabled,Both,Both,FUSION
Gh_Vst_080TVG-013B_s_19_F1_filt.fastq.gz,135971,Tabled,Both,Both,FUSION
Pv_FS_MPA_01601_s_52_F1_filt.fastq.gz,28846,Tabled,Both,Both,FUSION
Pv_FS_MPA_01602_s_26_F1_filt.fastq.gz,55469,Tabled,Both,Both,FUSION
Pv_FS_MPA_01603_s_53_F1_filt.fastq.gz,20042,Tabled,Both,Both,FUSION
Pv_NoS_11452_s_08_F1_filt.fastq.gz,59709,Tabled,Both,Both,FUSION
Pv_NoS_11456_s_22_F1_filt.fastq.gz,63483,Tabled,Both,Both,FUSION
Pv_NoS_Notag_s_09_F1_filt.fastq.gz,65180,Tabled,Both,Both,FUSION
Pv_NwK_ST5-38_s_29_F1_filt.fastq.gz,50614,Tabled,Both,Both,FUSION
Pv_NwK_ST5-39_s_30_F1_filt.fastq.gz,73154,Tabled,Both,Both,FUSION
Pv_RB_11218_s_13_F1_filt.fastq.gz,134981,Tabled,Both,Both,FUSION
Pv_RB_11221_s_23_F1_filt.fastq.gz,127033,Tabled,Both,Both,FUSION
Pv_RB_1418_s_15_F1_filt.fastq.gz,48032,Tabled,Both,Both,FUSION
Pv_RB_1420_s_16_F1_filt.fastq.gz,57877,Tabled,Both,Both,FUSION
Pv_RB_MPA_11417_s_20_F1_filt.fastq.gz,39441,Tabled,Both,Both,FUSION
Pv_RB_MPA_11419_s_21_F1_filt.fastq.gz,95701,Tabled,Both,Both,FUSION
Pv_RB_MPA_1865_s_24_F1_filt.fastq.gz,29326,Tabled,Both,Both,FUSION
Pv_RB_MPA_1866_s_14_F1_filt.fastq.gz,36878,Tabled,Both,Both,FUSION
Pv_SMK_ROV25-12_s_33_F1_filt.fastq.gz,33663,Tabled,Both,Both,FUSION
Pv_SMK_ROV25-13_s_35_F1_filt.fastq.gz,21351,Tabled,Both,Both,FUSION
Pv_SMK_ROV25-14_s_36_F1_filt.fastq.gz,59938,Tabled,Both,Both,FUSION
Pv_SRT_046-26_s_11_F1_filt.fastq.gz,38436,Tabled,Both,Both,FUSION
Pv_SRT_046-49_s_12_F1_filt.fastq.gz,81915,Tabled,Both,Both,FUSION
Pv_SSNd_H044-01642_s_45_F1_filt.fastq.gz,60628,Tabled,Both,Both,FUSION
Pv_SSNd_H044-01643_s_46_F1_filt.fastq.gz,31725,Tabled,Both,Both,FUSION
Pv_SSNd_H044-01645_s_47_F1_filt.fastq.gz,26513,Tabled,Both,Both,FUSION
Pv_Sw_11_s_05_F1_filt.fastq.gz,40247,Tabled,Both,Both,FUSION
Pv_Sw_9_s_04_F1_filt.fastq.gz,28457,Tabled,Both,Both,FUSION
Gb_BS_imp_15O4_s_31_R1_filt.fastq.gz,17207,Tabled.rev,Rev,Both,Tabled
Gb_BS_imp_18R6_s_38_R1_filt.fastq.gz,37053,Tabled.rev,Rev,Both,Tabled
Gb_BS_imp_23W4_s_37_R1_filt.fastq.gz,28453,Tabled.rev,Rev,Both,Tabled
Gb_BS_imp_9I4_s_39_R1_filt.fastq.gz,21578,Tabled.rev,Rev,Both,Tabled
Gb_BS_unimp_14N5_s_41_R1_filt.fastq.gz,52783,Tabled.rev,Rev,Both,Tabled
Gb_BS_unimp_3C6_s_43_R1_filt.fastq.gz,24373,Tabled.rev,Rev,Both,Tabled
Gb_BS_unimp_4D2_s_40_R1_filt.fastq.gz,22554,Tabled.rev,Rev,Both,Tabled
Gb_BS_unimp_6F4_s_42_R1_filt.fastq.gz,33477,Tabled.rev,Rev,Both,Tabled
Gb_Can_M_Trip8-75.1_d_69_R1_filt.fastq.gz,53043,Tabled.rev,Rev,Both,Tabled
Gb_Can_M_Trip8-75.2_d_70_R1_filt.fastq.gz,47496,Tabled.rev,Rev,Both,Tabled
Gb_Can_M_Trip8-75.3_d_71_R1_filt.fastq.gz,32555,Tabled.rev,Rev,Both,Tabled
Gb_Can_S_15O6_d_75_R1_filt.fastq.gz,21629,Tabled.rev,Rev,Both,Tabled
Gb_Can_S_16P6_s_55_R1_filt.fastq.gz,117717,Tabled.rev,Rev,Both,Tabled
Gb_Can_S_17Q3_d_77_R1_filt.fastq.gz,48861,Tabled.rev,Rev,Both,Tabled
